ASX listed companies as at Mon Mar 09 08:45:10 AEDT 2026

Company name,ASX code,GICS industry group
"US1 CRITICAL MINERALS LIMITED","USC","Materials"
"USCOM LIMITED","UCM","Health Care Equipment & Services"
"VALIANT GOLD LIMITED","VAL","Class Pend"
"VANADIUM RESOURCES LIMITED","VR8","Materials"
"VARISCAN MINES LIMITED","VAR","Materials"
"VAULT MINERALS LIMITED","VAU","Materials"
"VBX LIMITED","VBX","Materials"
"VECTION TECHNOLOGIES LTD","VR1","Software & Services"
"VECTUS BIOSYSTEMS LIMITED","VBS","Pharmaceuticals, Biotechnology & Life Sciences"
"VEEM LTD","VEE","Capital Goods"
"VENARI MINERALS NL","VMS","Materials"
"VENTIA SERVICES GROUP LIMITED","VNT","Capital Goods"
"VENUS METALS CORPORATION LIMITED","VMC","Materials"
"VERBREC LIMITED","VBC","Capital Goods"
"VERIS LIMITED","VRS","Commercial & Professional Services"
"VERITY RESOURCES LIMITED","VRL","Materials"
"VERTEX MINERALS LIMITED","VTX","Materials"
"VHM LIMITED","VHM","Materials"
"VICINITY CENTRES","VCX","Equity Real Estate Investment Trusts (REITs)"
"VICINITY CENTRES TRUST","VCD","Not Applic"
"VICTOR GROUP HOLDINGS LIMITED","VIG","Software & Services"
"VICTORY METALS LIMITED","VTM","Materials"
"VIKING MINES LIMITED","VKA","Materials"
"VINTAGE ENERGY LTD","VEN","Energy"
"VINYL GROUP LTD","VNL","Software & Services"
"VIRGIN AUSTRALIA HOLDINGS LIMITED.","VGN","Transportation"
"VIRIDIS MINING AND MINERALS LIMITED","VMM","Materials"
"VISIONFLEX GROUP LIMITED","VFX","Health Care Equipment & Services"
"VISTA GROUP INTERNATIONAL LIMITED.","VGL","Software & Services"
"VITA LIFE SCIENCES LIMITED..","VLS","Pharmaceuticals, Biotechnology & Life Sciences"
"VITA RESOURCES NL","VTA","Materials"
"VITAL METALS LIMITED","VML","Materials"
"VITASORA HEALTH LIMITED","VHL","Health Care Equipment & Services"
"VITRAFY LIFE SCIENCES LIMITED","VFY","Pharmaceuticals, Biotechnology & Life Sciences"
"VITURA HEALTH LIMITED","VIT","Health Care Equipment & Services"
"VIVA ENERGY GROUP LIMITED","VEA","Energy"
"VIVA LEISURE LIMITED","VVA","Consumer Services"
"VMOTO LIMITED","VMT","Automobiles & Components"
"VODAFONE GROUP PLC.","VPG","Not Applic"
"VOLT GROUP LIMITED","VPR","Utilities"
"VOLT RESOURCES LIMITED","VRC","Materials"
"VOLTAIC STRATEGIC RESOURCES LTD","VSR","Energy"
"VRX SILICA LIMITED","VRX","Materials"
"VULCAN ENERGY RESOURCES LIMITED","VUL","Materials"
"VULCAN STEEL LIMITED","VSL","Materials"
"VYSARN LIMITED","VYS","Materials"
"WA KAOLIN LIMITED","WAK","Materials"
"WA1 RESOURCES LTD","WA1","Materials"
"WAGNERS HOLDING COMPANY LIMITED","WGN","Materials"
"WAM ACTIVE LIMITED","WAA","Not Applic"
"WAM ALTERNATIVE ASSETS LIMITED","WMA","Not Applic"
"WAM CAPITAL LIMITED","WAM","Not Applic"
"WAM GLOBAL LIMITED","WGB","Not Applic"
"WAM INCOME MAXIMISER LIMITED","WMX","Not Applic"
"WAM LEADERS LIMITED","WLE","Not Applic"
"WAM MICROCAP LIMITED","WMI","Not Applic"
"WAM RESEARCH LIMITED","WAX","Not Applic"
"WAM STRATEGIC VALUE LIMITED","WAR","Not Applic"
"WARATAH MINERALS LIMITED","WTM","Materials"
"WASHINGTON H. SOUL PATTINSON AND COMPANY LIMITED","SOL","Financial Services"
"WATERCO LIMITED","WAT","Consumer Durables & Apparel"
"WAY 2 VAT LTD.","W2V","Software & Services"
"WAYPOINT REIT","WPR","Equity Real Estate Investment Trusts (REITs)"
"WCM GLOBAL GROWTH LIMITED","WQG","Not Applic"
"WEA FINANCE LLC AND WESTFIELD UK & EUROPE FINANCE PLC","WEF","Not Applic"
"WEB TRAVEL GROUP LIMITED","WEB","Consumer Services"
"WEBJET GROUP LIMITED","WJL","Consumer Services"
"WEEBIT NANO LTD","WBT","Semiconductors & Semiconductor Equipment"
"WELLNEX LIFE LIMITED","WNX","Food, Beverage & Tobacco"
"WESFARMERS LIMITED","WES","Consumer Discretionary Distribution & Retail"
"WEST AFRICAN RESOURCES LIMITED","WAF","Materials"
"WEST COAST SILVER LIMITED","WCE","Materials"
"WEST COBAR METALS LIMITED","WC1","Materials"
"WEST WITS MINING LIMITED","WWI","Materials"
"WESTAR RESOURCES LIMITED","WSR","Materials"
"WESTERN GOLD RESOURCES LIMITED.","WGR","Materials"
"WESTERN MINES GROUP LTD","WMG","Materials"
"WESTERN RIDGE RESOURCES LIMITED","WRX","Materials"
"WESTERN YILGARN NL","WYX","Materials"
"WESTFIELD UK & EUROPE FINANCE PLC","WEN","Not Applic"
"WESTGOLD RESOURCES LIMITED.","WGX","Materials"
"WESTPAC BANKING CORPORATION","WBC","Banks"
"WESTSTAR INDUSTRIAL LIMITED","WSI","Materials"
"WHITE CLIFF MINERALS LIMITED","WCN","Materials"
"WHITE ENERGY COMPANY LIMITED","WEC","Energy"
"WHITEFIELD INCOME LIMITED","WHI","Not Applic"
"WHITEFIELD INDUSTRIALS LIMITED","WHF","Not Applic"
"WHITEHAVEN COAL LIMITED","WHC","Energy"
"WHITEHAWK LIMITED","WHK","Software & Services"
"WIA GOLD LIMITED","WIA","Materials"
"WIDE OPEN AGRICULTURE LTD","WOA","Food, Beverage & Tobacco"
"WILDCAT RESOURCES LIMITED","WC8","Materials"
"WIN METALS LTD","WIN","Materials"
"WINCHESTER ENERGY LTD","WEL","Energy"
"WINGARA AG LTD","WNR","Food, Beverage & Tobacco"
"WINSOME RESOURCES LIMITED","WR1","Materials"
"WINTON LAND LIMITED","WTN","Real Estate Management & Development"
"WISETECH GLOBAL LIMITED","WTC","Software & Services"
"WISEWAY GROUP LIMITED","WWG","Transportation"
"WISR LIMITED","WZR","Financial Services"
"WOLFE ENERGY LIMITED","WFE","Class Pend"
"WOODSIDE ENERGY GROUP LTD","WDS","Energy"
"WOOLWORTHS GROUP LIMITED","WOW","Consumer Staples Distribution & Retail"
"WORLEY LIMITED","WOR","Capital Goods"
"WOTSO","WOT","Real Estate Management & Development"
"WRKR LTD","WRK","Software & Services"
"WT FINANCIAL GROUP LIMITED","WTL","Financial Services"
"X2M CONNECT LIMITED","X2M","Technology Hardware & Equipment"
"XAMBLE GROUP LIMITED","XGL","Media & Entertainment"
"XENORA MINERALS LTD","XRA","Materials"
"XERO LIMITED","XRO","Software & Services"
"XPEDRA RESOURCES LIMITED","XPD","Materials"
"XPON TECHNOLOGIES GROUP LIMITED","XPN","Software & Services"
"XREALITY GROUP LTD","XRG","Consumer Services"
"XREF LIMITED","XF1","Software & Services"
"XRF SCIENTIFIC LIMITED","XRF","Capital Goods"
"XSTATE RESOURCES LIMITED","XST","Energy"
"YANCOAL AUSTRALIA LIMITED","YAL","Energy"
"YANDAL RESOURCES LIMITED","YRL","Materials"
"YARI MINERALS LIMITED","YAR","Materials"
"YOJEE LIMITED","YOJ","Software & Services"
"YOWIE GROUP LTD","YOW","Food, Beverage & Tobacco"
"YUGO METALS LIMITED","YUG","Materials"
"ZELIRA THERAPEUTICS LIMITED","ZLD","Pharmaceuticals, Biotechnology & Life Sciences"
"ZENITH MINERALS LIMITED","ZNC","Materials"
"ZEOTECH LIMITED","ZEO","Materials"
"ZEUS RESOURCES LIMITED","ZEU","Energy"
"ZICOM GROUP LIMITED","ZGL","Capital Goods"
"ZIMI LIMITED","ZMM","Technology Hardware & Equipment"
"ZIMPLATS HOLDINGS LIMITED","ZIM","Materials"
"ZINC OF IRELAND NL","ZMI","Materials"
"ZIP CO LIMITED..","ZIP","Financial Services"
"ZOONO GROUP LIMITED","ZNO","Materials"
"ZULEIKA GOLD LIMITED","ZAG","Materials"
